ID,Game,Activity
151603712,The Elder Scrolls V Skyrim,purchase
151603713,The Elder Scrolls V Skyrim,play
151603714,Fallout 4,purchase
151603715,Fallout 4,play
151603716,Spore,purchase
151603717,Spore,play
151603718,Fallout New Vegas,purchase
151603719,Fallout New Vegas,play
151603720,Left 4 Dead 2,purchase
151603721,Left 4 Dead 2,play
151603722,HuniePop,purchase
151603723,HuniePop,play
151603724,Path of Exile,purchase
151603725,Path of Exile,play
151603726,Poly Bridge,purchase
151603727,Poly Bridge,play
151603728,Left 4 Dead,purchase
151603729,Left 4 Dead,play
151603730,Team Fortress 2,purchase
151603731,Team Fortress 2,play
151603732,Tomb Raider,purchase
151603733,Tomb Raider,play
151603734,The Banner Saga,purchase
151603735,The Banner Saga,play
151603736,Dead Island Epidemic,purchase
151603737,Dead Island Epidemic,play
151603738,BioShock Infinite,purchase
151603739,BioShock Infinite,play
151603740,Dragon Age Origins - Ultimate Edition,purchase
151603741,Dragon Age Origins - Ultimate Edition,play
151603742,Fallout 3 - Game of the Year Edition,purchase
151603743,Fallout 3 - Game of the Year Edition,play
151603744,SEGA Genesis & Mega Drive Classics,purchase
151603745,SEGA Genesis & Mega Drive Classics,play
151603746,Grand Theft Auto IV,purchase
151603747,Grand Theft Auto IV,play
151603748,Realm of the Mad God,purchase
151603749,Realm of the Mad God,play
151603750,Marvel Heroes 2015,purchase
151603751,Marvel Heroes 2015,play
151603752,Eldevin,purchase
151603753,Eldevin,play
151603754,Dota 2,purchase
151603755,Dota 2,play
151603756,BioShock,purchase
151603757,BioShock,play
151603758,Robocraft,purchase
151603759,Robocraft,play
151603760,Garry's Mod,purchase
151603761,Garry's Mod,play
151603762,Jazzpunk,purchase
151603763,Jazzpunk,play
151603764,Alan Wake,purchase
151603765,BioShock 2,purchase
151603766,Fallen Earth,purchase
151603767,Fallout New Vegas Courier's Stash,purchase
151603768,Fallout New Vegas Dead Money,purchase
151603769,Fallout New Vegas Honest Hearts,purchase
151603770,Grand Theft Auto Episodes from Liberty City,purchase
151603771,Hitman Absolution,purchase
151603772,HuniePop Official Digital Art Collection,purchase
151603773,HuniePop Original Soundtrack,purchase
151603774,The Banner Saga - Mod Content,purchase
151603775,The Elder Scrolls V Skyrim - Dawnguard,purchase
151603776,The Elder Scrolls V Skyrim - Dragonborn,purchase
151603777,The Elder Scrolls V Skyrim - Hearthfire,purchase
151603778,Dota 2,purchase
151603779,Dota 2,play
151603780,Ultra Street Fighter IV,purchase
151603781,Ultra Street Fighter IV,play
151603782,FINAL FANTASY XIII,purchase
151603783,FINAL FANTASY XIII,play
151603784,The Elder Scrolls V Skyrim,purchase
151603785,The Elder Scrolls V Skyrim,play
151603786,Sid Meier's Civilization V,purchase
151603787,Sid Meier's Civilization V,play
151603788,L.A. Noire,purchase
151603789,L.A. Noire,play
151603790,Company of Heroes Tales of Valor,purchase
151603791,Company of Heroes Tales of Valor,play
151603792,7 Days to Die,purchase
151603793,7 Days to Die,play
151603794,Divekick,purchase
151603795,Divekick,play
151603796,FINAL FANTASY VII,purchase
151603797,FINAL FANTASY VII,play
151603798,Orcs Must Die! 2,purchase
151603799,Orcs Must Die! 2,play
151603800,Killing Floor,purchase
151603801,Killing Floor,play
151603802,Company of Heroes,purchase
